Timestamp,Source IP,Source Port,Destination IP,Destination Port,Protocol,Action,Severity,Country,Services,Packates,Incidents,Description
01-04-2023 19:11,171.168.1.3,45678,8.8.4.4,53,UDP,Allow,Medium,India,Application Access,169,57,SSH traffic allowed from trusted internal network to internal server
01-01-2023 10:50,192.168.1.2,45678,10.0.0.1,80,UDP,Allow,Low,USA,Web Access,890,69,SSH traffic allowed from trusted internal network to internal server
01-04-2023 02:51,172.168.1.1,67890,10.0.0.2,22,TCP,Block,High,China,Mail,215,88,DNS traffic blocked from suspicious source IP
01-01-2023 06:27,194.168.1.4,54321,8.8.8.8,22,TCP,Allow,Low,China,Database,871,90,SSH traffic allowed from trusted internal network to internal server
01-04-2023 22:41,192.168.1.2,54321,8.8.8.8,53,TCP,Block,High,China,News,203,84,SSH traffic allowed from trusted internal network to internal server
01-01-2023 14:48,172.168.1.1,54321,8.8.8.8,53,TCP,Allow,Low,China,Database,336,76,SSH traffic allowed from trusted internal network to internal server
01-02-2023 23:55,194.168.1.4,12345,8.8.8.8,22,UDP,Block,High,USA,Web Access,501,54,HTTP traffic allowed from internal network to external server
01-03-2023 13:33,172.168.1.1,12345,10.0.0.2,80,UDP,Block,High,UK,Web Access,256,79,SSH traffic allowed from trusted internal network to internal server
01-02-2023 01:55,171.168.1.3,12546,10.0.0.1,22,UDP,Block,High,UK,News,206,85,HTTP traffic allowed from internal network to external server
01-02-2023 01:54,192.168.1.5,45698,10.0.0.2,80,UDP,Allow,Medium,China,Web Access,218,83,HTTP traffic allowed from internal network to external server
01-04-2023 05:05,172.168.1.1,12345,8.8.8.8,22,UDP,Allow,Medium,USA,News,685,64,DNS traffic blocked from suspicious source IP
01-02-2023 04:44,194.168.1.4,67890,10.0.0.3,22,UDP,Block,High,USA,Web Access,150,75,HTTP traffic allowed from internal network to external server
01-04-2023 12:11,171.168.1.3,54321,10.0.0.3,22,UDP,Block,High,India,Database,932,83,DNS traffic blocked from suspicious source IP
01-04-2023 15:22,171.168.1.3,67890,10.0.0.2,53,TCP,Allow,Low,UK,Mail,417,99,SSH traffic allowed from trusted internal network to internal server
01-04-2023 13:47,194.168.1.4,67890,8.8.4.4,80,UDP,Allow,Low,UK,Application Access,280,59,HTTP traffic allowed from internal network to external server
01-03-2023 13:55,194.168.1.4,54321,10.0.0.1,22,TCP,Block,High,UK,Web Access,452,58,HTTP traffic allowed from internal network to external server
01-02-2023 10:32,192.168.1.5,67890,10.0.0.2,53,TCP,Allow,Low,China,News,313,79,SSH traffic allowed from trusted internal network to internal server
01-04-2023 23:41,194.168.1.4,67890,8.8.4.4,80,TCP,Allow,Low,UK,Mail,707,98,HTTP traffic allowed from internal network to external server
01-04-2023 19:21,172.168.1.1,67890,8.8.4.4,80,UDP,Block,High,USA,News,545,82,SSH traffic allowed from trusted internal network to internal server
01-04-2023 20:57,192.168.1.5,12345,10.0.0.2,22,TCP,Block,High,India,Application Access,997,83,DNS traffic blocked from suspicious source IP
01-02-2023 21:21,171.168.1.3,45698,10.0.0.2,22,TCP,Block,High,India,Database,365,70,DNS traffic blocked from suspicious source IP
01-01-2023 22:28,192.168.1.5,67890,8.8.8.8,80,TCP,Block,High,UK,Database,768,87,SSH traffic allowed from trusted internal network to internal server
01-03-2023 13:58,192.168.1.2,45678,8.8.8.8,80,UDP,Allow,Low,UK,Database,892,54,SSH traffic allowed from trusted internal network to internal server
01-01-2023 11:32,192.168.1.2,54321,10.0.0.2,80,TCP,Allow,Low,China,Application Access,771,81,SSH traffic allowed from trusted internal network to internal server
01-02-2023 01:44,194.168.1.4,12345,10.0.0.1,22,UDP,Allow,Medium,UK,Application Access,374,54,SSH traffic allowed from trusted internal network to internal server
01-02-2023 00:46,194.168.1.4,45698,10.0.0.3,22,TCP,Block,High,USA,Web Access,115,59,DNS traffic blocked from suspicious source IP
01-02-2023 06:58,192.168.1.2,45678,10.0.0.2,53,TCP,Block,High,China,Web Access,748,72,SSH traffic allowed from trusted internal network to internal server
01-01-2023 02:47,194.168.1.4,67890,10.0.0.2,53,UDP,Block,High,India,News,637,51,DNS traffic blocked from suspicious source IP
01-01-2023 00:49,192.168.1.5,45678,10.0.0.3,80,TCP,Block,High,UK,Application Access,508,83,DNS traffic blocked from suspicious source IP
01-03-2023 12:28,171.168.1.3,12546,10.0.0.2,53,UDP,Allow,Medium,India,Web Access,354,70,HTTP traffic allowed from internal network to external server
01-03-2023 13:02,171.168.1.3,45678,10.0.0.3,53,TCP,Block,High,USA,News,492,74,HTTP traffic allowed from internal network to external server
01-02-2023 12:39,192.168.1.2,45698,8.8.4.4,53,UDP,Allow,Low,India,Web Access,173,86,SSH traffic allowed from trusted internal network to internal server
01-01-2023 03:35,192.168.1.2,12345,10.0.0.3,22,TCP,Block,High,USA,Application Access,467,94,DNS traffic blocked from suspicious source IP
01-04-2023 05:00,194.168.1.4,67890,10.0.0.3,53,UDP,Allow,Medium,USA,Application Access,911,74,SSH traffic allowed from trusted internal network to internal server
01-02-2023 22:41,171.168.1.3,12546,8.8.4.4,22,UDP,Block,High,China,Application Access,338,76,HTTP traffic allowed from internal network to external server
01-03-2023 14:24,172.168.1.1,45698,8.8.4.4,22,UDP,Block,High,UK,Application Access,728,62,SSH traffic allowed from trusted internal network to internal server
01-02-2023 02:35,171.168.1.3,12546,10.0.0.2,22,UDP,Block,High,China,Mail,628,51,HTTP traffic allowed from internal network to external server
01-01-2023 06:52,194.168.1.4,67890,10.0.0.1,22,UDP,Block,High,India,Mail,666,59,DNS traffic blocked from suspicious source IP
01-01-2023 00:00,172.168.1.1,67890,8.8.4.4,22,TCP,Allow,Medium,UK,Mail,885,81,DNS traffic blocked from suspicious source IP
01-03-2023 17:27,194.168.1.4,12345,10.0.0.1,53,UDP,Allow,Medium,UK,Mail,214,73,HTTP traffic allowed from internal network to external server
01-01-2023 11:17,172.168.1.1,45698,10.0.0.1,80,TCP,Allow,Medium,UK,News,140,95,DNS traffic blocked from suspicious source IP
01-04-2023 00:24,192.168.1.5,67890,8.8.8.8,80,UDP,Block,High,China,News,973,71,SSH traffic allowed from trusted internal network to internal server
01-03-2023 06:30,172.168.1.1,45678,8.8.4.4,22,TCP,Allow,Low,UK,Application Access,958,66,DNS traffic blocked from suspicious source IP
01-02-2023 03:32,172.168.1.1,12345,10.0.0.1,22,TCP,Allow,Medium,India,Web Access,342,67,DNS traffic blocked from suspicious source IP
01-01-2023 19:14,192.168.1.5,54321,10.0.0.2,22,TCP,Allow,Medium,UK,Mail,952,79,SSH traffic allowed from trusted internal network to internal server
01-04-2023 11:42,194.168.1.4,67890,8.8.4.4,80,UDP,Allow,Medium,USA,Database,709,100,SSH traffic allowed from trusted internal network to internal server
01-01-2023 13:24,192.168.1.5,12546,10.0.0.1,22,UDP,Block,High,UK,News,886,77,SSH traffic allowed from trusted internal network to internal server
01-02-2023 08:57,192.168.1.5,12345,10.0.0.3,53,TCP,Allow,Medium,China,Mail,740,81,HTTP traffic allowed from internal network to external server
01-04-2023 02:14,192.168.1.2,54321,10.0.0.3,53,TCP,Allow,Medium,UK,Database,780,61,DNS traffic blocked from suspicious source IP
01-01-2023 06:50,194.168.1.4,54321,10.0.0.1,53,TCP,Block,High,India,News,687,83,HTTP traffic allowed from internal network to external server
01-04-2023 18:22,192.168.1.2,67890,10.0.0.1,80,UDP,Allow,Low,India,Database,912,97,DNS traffic blocked from suspicious source IP
01-03-2023 00:28,192.168.1.2,45678,8.8.4.4,22,TCP,Block,High,USA,News,974,70,SSH traffic allowed from trusted internal network to internal server
01-04-2023 03:49,192.168.1.2,45678,8.8.4.4,80,UDP,Block,High,UK,Mail,301,79,SSH traffic allowed from trusted internal network to internal server
01-01-2023 03:48,171.168.1.3,12546,10.0.0.1,53,UDP,Block,High,USA,Web Access,651,86,DNS traffic blocked from suspicious source IP
01-02-2023 00:43,194.168.1.4,45698,10.0.0.3,80,TCP,Allow,Low,USA,News,982,76,SSH traffic allowed from trusted internal network to internal server
01-02-2023 19:59,192.168.1.2,12345,8.8.8.8,22,UDP,Block,High,USA,Database,316,89,SSH traffic allowed from trusted internal network to internal server
01-02-2023 04:55,192.168.1.2,54321,10.0.0.2,53,UDP,Block,High,USA,Application Access,766,88,HTTP traffic allowed from internal network to external server
01-04-2023 01:27,171.168.1.3,67890,8.8.8.8,80,TCP,Allow,Low,USA,Application Access,783,71,HTTP traffic allowed from internal network to external server
01-01-2023 22:57,172.168.1.1,12546,8.8.8.8,53,TCP,Allow,Low,USA,Database,361,89,SSH traffic allowed from trusted internal network to internal server
01-02-2023 23:18,194.168.1.4,12345,8.8.4.4,80,TCP,Block,High,China,News,678,99,DNS traffic blocked from suspicious source IP
01-03-2023 09:51,194.168.1.4,67890,10.0.0.2,22,TCP,Block,High,China,Application Access,185,98,DNS traffic blocked from suspicious source IP
01-04-2023 02:32,192.168.1.5,45678,10.0.0.3,22,TCP,Block,High,USA,Application Access,206,52,DNS traffic blocked from suspicious source IP
01-01-2023 07:50,171.168.1.3,45698,10.0.0.3,22,TCP,Block,High,UK,Mail,653,94,HTTP traffic allowed from internal network to external server
01-02-2023 01:26,192.168.1.2,12345,10.0.0.3,80,UDP,Allow,Medium,UK,Database,960,68,HTTP traffic allowed from internal network to external server
01-01-2023 11:30,172.168.1.1,45698,8.8.8.8,80,UDP,Allow,Medium,UK,Application Access,244,69,SSH traffic allowed from trusted internal network to internal server
01-03-2023 06:15,172.168.1.1,45678,8.8.4.4,22,TCP,Allow,Low,India,Application Access,721,86,DNS traffic blocked from suspicious source IP
01-02-2023 03:05,192.168.1.2,12546,10.0.0.2,80,TCP,Block,High,India,Application Access,167,97,HTTP traffic allowed from internal network to external server
01-01-2023 21:42,194.168.1.4,12546,8.8.8.8,53,TCP,Allow,Medium,UK,News,712,71,SSH traffic allowed from trusted internal network to internal server
01-04-2023 10:37,172.168.1.1,45698,8.8.8.8,53,TCP,Allow,Medium,UK,Application Access,211,82,DNS traffic blocked from suspicious source IP
01-01-2023 13:56,192.168.1.2,12546,10.0.0.2,22,TCP,Allow,Medium,China,News,159,88,DNS traffic blocked from suspicious source IP
01-01-2023 12:07,171.168.1.3,54321,10.0.0.2,53,TCP,Allow,Low,USA,Application Access,579,58,HTTP traffic allowed from internal network to external server
01-04-2023 06:22,192.168.1.5,12546,10.0.0.3,80,TCP,Allow,Low,China,News,394,74,HTTP traffic allowed from internal network to external server
01-01-2023 18:02,194.168.1.4,45678,8.8.8.8,22,TCP,Block,High,China,Mail,699,95,HTTP traffic allowed from internal network to external server
01-01-2023 10:44,194.168.1.4,54321,10.0.0.3,22,TCP,Block,High,UK,Web Access,335,55,SSH traffic allowed from trusted internal network to internal server
01-01-2023 04:01,171.168.1.3,45698,10.0.0.2,22,TCP,Allow,Medium,China,Web Access,619,75,SSH traffic allowed from trusted internal network to internal server
01-03-2023 21:42,171.168.1.3,12345,8.8.8.8,53,TCP,Block,High,India,Database,841,76,HTTP traffic allowed from internal network to external server
01-01-2023 13:58,194.168.1.4,45678,8.8.8.8,22,UDP,Allow,Medium,UK,Database,411,65,DNS traffic blocked from suspicious source IP
01-02-2023 08:33,171.168.1.3,67890,10.0.0.2,80,TCP,Block,High,China,News,415,74,DNS traffic blocked from suspicious source IP
01-04-2023 14:10,192.168.1.5,67890,10.0.0.2,53,TCP,Allow,Medium,India,Database,197,74,DNS traffic blocked from suspicious source IP
01-01-2023 01:29,192.168.1.2,67890,10.0.0.1,80,UDP,Allow,Low,USA,Database,367,76,SSH traffic allowed from trusted internal network to internal server
01-03-2023 14:00,194.168.1.4,45678,8.8.8.8,53,UDP,Block,High,USA,News,383,67,HTTP traffic allowed from internal network to external server
01-02-2023 00:03,194.168.1.4,67890,10.0.0.3,22,UDP,Block,High,China,Mail,221,96,DNS traffic blocked from suspicious source IP
01-02-2023 22:26,172.168.1.1,12345,8.8.8.8,22,TCP,Allow,Low,India,News,724,64,HTTP traffic allowed from internal network to external server
01-03-2023 22:20,192.168.1.5,45698,8.8.4.4,80,TCP,Allow,Medium,USA,Application Access,321,63,HTTP traffic allowed from internal network to external server
